Brand,OS,Processor,RAM_Size,RAM_Type,Storage_Size,Storage_type,MRP
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,74770.0
ASUS,Windows 11,Intel,16GB,DDR5,1TB,SSD,109990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
acer,Windows 11,AMD,8GB,DDR4,512GB,SSD,62990.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,40990.0
MSI,Windows 10,Intel,8GB,DDR4,512GB,SSD,58499.0
Lenovo,Windows 10,Intel,8GB,DDR4,1TB,HDD,65990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
DELL,Windows 11,Intel,16GB,DDR5,512GB,SSD,111990.0
Lenovo,Windows 11,Intel,16GB,DDR4,512GB,SSD,68490.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
Infinix,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,46990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,HDD,83990.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,54990.0
ASUS,Chrome ,Intel,4GB,LPDDR4,512GB,SSD,14990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
APPLE,Mac ,M1,8GB,DDR4,1TB,SSD,149990.0
DELL,Windows 10,Intel,8GB,DDR4,512GB,SSD,63090.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
MSI,Windows 11,Intel,16GB,DDR5,1TB,SSD,200000.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,37390.0
ASUS,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,63990.0
DELL,Windows 10,Intel,8GB,DDR4,512GB,SSD,43090.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
Lenovo,Windows 10,Intel,4GB,DDR4,256GB,SSD,44700.0
HP,Windows 10,Intel,8GB,DDR4,256GB,SSD,41150.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,8GB,DDR4,256GB,SSD,33990.0
MSI,Windows 11,Intel,16GB,DDR5,1TB,SSD,190890.0
ASUS,Windows 11,Intel,16GB,LPDDR5,1TB,SSD,174990.0
HP,Windows 11,AMD,16GB,DDR4,1TB,SSD,118990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
ASUS,Windows 11,Intel,16GB,DDR4,512GB,SSD,63980.0
acer,Windows 11,AMD,8GB,DDR4,512GB,SSD,54300.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
